year,value
1961,12.04353641
1962,8.908972996
1963,8.473642383
1964,11.6767082
1965,5.819707873
1966,10.63856156
1967,11.08214232
1968,12.88246814
1969,12.47789451
1970,2.454958384
1971,4.698992042
1972,8.413547255
1973,8.032599975
1974,-1.225239828
1975,3.091575916
1976,3.974984091
1977,4.39033795
1978,5.271941503
1979,5.484041832
1980,2.817591208
1981,4.260624493
1982,3.279742743
1983,3.630198572
1984,4.410880154
1985,5.159807905
1986,3.294047613
1987,4.648861398
1988,6.661636522
1989,4.925785413
1990,4.840929057
1991,3.523357235
1992,0.900586066
1993,-0.459219716
1994,1.083383174
1995,2.630999616
1996,3.133870993
1997,0.981228732
1998,-1.270330495
1999,-0.333929958
2000,2.764647551
2001,0.386103426
2002,0.041962499
2003,1.535125499
2004,2.186115694
2005,1.803900872
2006,1.372350128
2007,1.483969412
2008,-1.224289001
2009,-5.693236359
2010,4.097917919
2011,0.023809524
2012,1.374750999
2013,2.005100177
2014,0.296205514
2015,1.560626697
2016,0.753826746
2017,1.675331752
2018,0.584068067
2019,-0.240350841
2020,-4.506904542
2021,1.657071117
