year,value
1970,2.30192E+11
1971,2.8788E+11
1972,4.11271E+11
1973,5.53445E+11
1974,5.8782E+11
1975,6.56716E+11
1976,7.41882E+11
1977,8.98071E+11
1978,1.25423E+12
1979,1.32097E+12
1980,1.40615E+12
1981,1.5875E+12
1982,1.53602E+12
1983,1.74066E+12
1984,1.88054E+12
1985,2.04483E+12
1986,3.15857E+12
1987,4.24786E+12
1988,5.42267E+12
1989,5.65631E+12
1990,5.95725E+12
1991,6.80936E+12
1992,7.57821E+12
1993,8.79293E+12
1994,9.77699E+12
1995,1.07341E+13
1996,9.52694E+12
1997,9.28062E+12
1998,8.79442E+12
1999,1.00954E+13
2000,1.03747E+13
2001,7.8833E+12
2002,7.44204E+12
2003,8.02386E+12
2004,8.35607E+12
2005,8.12895E+12
2006,7.64122E+12
2007,7.31105E+12
2008,8.0571E+12
2009,8.71638E+12
2010,9.09291E+12
2011,9.78563E+12
2012,9.88441E+12
2013,8.37959E+12
2014,7.91848E+12
2015,7.15349E+12
2016,8.09676E+12
2017,8.24409E+12
2018,8.40697E+12
2019,8.94688E+12
2020,9.75342E+12
