year,value
1990,1.65707E+12
1991,1.39269E+12
1992,1.54909E+12
1993,1.91078E+12
1994,2.75493E+12
1995,3.37011E+12
1996,3.22039E+12
1997,3.2732E+12
1998,3.29829E+12
1999,4.19694E+12
2000,4.91539E+12
2001,4.49925E+12
2002,4.67961E+12
2003,5.51004E+12
2004,6.24105E+12
2005,6.19446E+12
2006,5.91788E+12
2007,6.05561E+12
2008,7.07677E+12
2009,8.30389E+12
2010,9.24339E+12
2011,1.09436E+13
2012,1.15229E+13
2013,9.72434E+12
2014,9.40777E+12
2015,8.64919E+12
2016,9.66896E+12
2017,9.54087E+12
2018,9.94702E+12
2019,1.0134E+13
2020,1.09007E+13
