year,value
1960,73233967692
1961,77741965703
1962,81247564157
1963,86561961812
1964,94407558351
1965,1.01825E+11
1966,1.08573E+11
1967,1.13117E+11
1968,1.0776E+11
1969,1.16465E+11
1970,1.30672E+11
1971,1.48114E+11
1972,1.69965E+11
1973,1.92538E+11
1974,2.06131E+11
1975,2.41757E+11
1976,2.32615E+11
1977,2.63066E+11
1978,3.35883E+11
1979,4.38994E+11
1980,5.64948E+11
1981,5.40766E+11
1982,5.15049E+11
1983,4.89618E+11
1984,4.61487E+11
1985,4.89285E+11
1986,6.01453E+11
1987,7.45163E+11
1988,9.10123E+11
1989,9.26885E+11
1990,1.09317E+12
1991,1.1428E+12
1992,1.17966E+12
1993,1.06139E+12
1994,1.14049E+12
1995,1.34618E+12
1996,1.42162E+12
1997,1.56181E+12
1998,1.65506E+12
1999,1.68929E+12
2000,1.66613E+12
2001,1.64866E+12
2002,1.78584E+12
2003,2.05661E+12
2004,2.42296E+12
2005,2.54481E+12
2006,2.70991E+12
2007,3.09282E+12
2008,2.9315E+12
2009,2.41764E+12
2010,2.4914E+12
2011,2.6664E+12
2012,2.70634E+12
2013,2.78632E+12
2014,3.06522E+12
2015,2.93486E+12
2016,2.69966E+12
2017,2.6834E+12
2018,2.87815E+12
2019,2.85706E+12
2020,2.70461E+12
2021,3.13138E+12
