year,value
1961,2.677118943
1962,1.102909649
1963,4.874383998
1964,5.533659386
1965,2.142176544
1966,1.573100414
1967,2.786474642
1968,5.441083438
1969,1.924096835
1970,6.840913651
1971,3.504717441
1972,4.321667564
1973,6.523848527
1974,-2.484404066
1975,-1.4736495
1976,2.910266241
1977,2.457750493
1978,4.204260511
1979,3.74901654
1980,-2.03136775
1981,-0.787743859
1982,1.994891213
1983,4.221856356
1984,2.269105221
1985,4.147414989
1986,3.150340514
1987,5.392738323
1988,5.732413698
1989,2.577602688
1990,0.733755503
1991,-1.103121561
1992,0.401081984
1993,2.489830965
1994,3.846009225
1995,2.531669964
1996,1.907807101
1997,4.366581074
1998,3.157287339
1999,3.014070476
2000,4.092653478
2001,2.157428178
2002,1.770765299
2003,3.123053313
2004,2.344971482
2005,2.668337657
2006,2.160405321
2007,2.563460461
2008,-0.154344315
2009,-4.5104856
2010,2.430072895
2011,1.067610914
2012,1.448456757
2013,1.819863375
2014,3.199702626
2015,2.393103184
2016,2.165206211
2017,2.44357047
2018,1.705021022
2019,1.604308648
2020,-11.03085846
2021,7.524910374
