year,value
1960,12697994398
1961,13599594000
1962,14167993750
1963,16743992613
1964,19515991390
1965,20999990736
1966,21167990662
1967,22424539362
1968,21239982274
1969,22535981192
1970,25893928486
1971,30737405695
1972,48526473526
1973,64625183733
1974,72557269752
1975,68451327434
1976,63647798742
1977,68620268620
1978,85982742090
1979,1.13532E+11
1980,1.48106E+11
1981,1.66881E+11
1982,1.75367E+11
1983,1.81513E+11
1984,1.94912E+11
1985,2.14827E+11
1986,4.66791E+11
1987,6.16779E+11
1988,8.33449E+11
1989,9.54043E+11
1990,1.14571E+12
1991,1.16947E+12
1992,1.19945E+12
1993,1.06007E+12
1994,1.14084E+12
1995,1.3084E+12
1996,1.42261E+12
1997,1.59305E+12
1998,1.69539E+12
1999,1.78002E+12
2000,1.91054E+12
2001,1.97642E+12
2002,2.22982E+12
2003,2.66344E+12
2004,3.3207E+12
2005,3.63989E+12
2006,4.17374E+12
2007,5.26505E+12
2008,5.6003E+12
2009,4.64323E+12
2010,4.58808E+12
2011,4.53823E+12
2012,4.35184E+12
2013,4.16477E+12
2014,4.15305E+12
2015,3.83169E+12
2016,3.55891E+12
2017,3.57183E+12
2018,3.84677E+12
2019,3.77992E+12
2020,3.96539E+12
