year,value
1990,3.30174E+11
1991,3.33638E+11
1992,3.58614E+11
1993,3.74814E+11
1994,4.61671E+11
1995,1.19016E+12
1996,1.2427E+12
1997,1.38312E+12
1998,1.49437E+12
1999,1.47626E+12
2000,1.45699E+12
2001,1.38979E+12
2002,1.54063E+12
2003,1.77848E+12
2004,2.18872E+12
2005,2.34085E+12
2006,2.49331E+12
2007,2.89588E+12
2008,3.08505E+12
2009,2.98318E+12
2010,3.25605E+12
2011,3.82733E+12
2012,3.97881E+12
2013,3.94425E+12
2014,4.61549E+12
2015,4.33217E+12
2016,4.2116E+12
2017,4.32265E+12
2018,4.54183E+12
2019,4.57187E+12
2020,5.2846E+12
