year,value
1965,6.4
1966,6.5
1967,2.5
1968,4.8
1969,3.1
1970,-0.28
1971,3.29
1972,5.26
1973,5.65
1974,-0.54
1975,-0.21
1976,5.39
1977,4.62
1978,5.54
1979,3.17
1980,-0.26
1981,2.54
1982,-1.8
1983,4.58
1984,7.24
1985,4.17
1986,3.46
1987,3.46
1988,4.18
1989,3.67
1990,1.89
1991,-0.11
1992,3.52
1993,2.75
1994,4.03
1995,2.68
1996,3.77
1997,4.45
1998,4.48
1999,4.79
2000,4.08
2001,0.95
2002,1.7
2003,2.8
2004,3.85
2005,3.48
2006,2.78
2007,2.01
2008,0.12
2009,-2.6
2010,2.71
2011,1.55
2012,2.28
2013,1.84
2014,2.29
2015,2.71
2016,1.67
2017,2.24
2018,2.95
2019,2.29
2020,-2.77
