year,value
1965,6.40601E+11
1966,6.80575E+11
1967,7.49837E+11
1968,8.27992E+11
1969,8.8486E+11
1970,9.41036E+11
1971,1.06138E+12
1972,1.22528E+12
1973,1.35181E+12
1974,1.42605E+12
1975,1.52441E+12
1976,1.68391E+12
1977,1.87732E+12
1978,2.1548E+12
1979,2.44199E+12
1980,2.69601E+12
1981,2.8619E+12
1982,3.09671E+12
1983,3.49265E+12
1984,3.90825E+12
1985,4.49885E+12
1986,5.045E+12
1987,5.4679E+12
1988,5.95335E+12
1989,6.63111E+12
1990,6.84518E+12
1991,7.33911E+12
1992,7.70984E+12
1993,8.29848E+12
1994,8.75802E+12
1995,9.94455E+12
1996,1.11139E+13
1997,1.2573E+13
1998,1.43015E+13
1999,1.65285E+13
2000,1.66701E+13
2001,1.80792E+13
2002,1.77493E+13
2003,2.03238E+13
2004,2.25781E+13
2005,2.45962E+13
2006,2.73941E+13
2007,2.98678E+13
2008,2.73428E+13
2009,2.71435E+13
2010,2.73772E+13
2011,2.72176E+13
2012,2.85166E+13
2013,3.1088E+13
2014,3.25388E+13
2015,3.29041E+13
2016,3.4346E+13
2017,3.73611E+13
2018,3.7077E+13
2019,4.09236E+13
2020,4.55237E+13
